File;% Stmts;% Branch;% Funcs;% Lines;Uncovered Line #s
All files;97.66;94.76;96.75;98.84;
app;100;100;100;100;
index.tsx;100;100;100;100;
app/list;100;100;100;100;
add.tsx;100;100;100;100;
app/list/edit;100;100;100;100;
[id].tsx;100;100;100;100;
components;97.72;95.5;94.82;100;
Button.tsx;100;100;100;100;
Card.tsx;100;100;100;100;
CustomAlert.tsx;100;80;100;100;18-25,75
CustomInput.tsx;100;100;100;100;
Divider.tsx;100;100;100;100;
Form.tsx;100;100;100;100;
Header.tsx;94.11;100;85.71;100;
Icons.tsx;100;100;100;100;
List.tsx;85.71;100;83.33;100;
ListSectionHeader.tsx;100;100;100;100;
Loading.tsx;100;100;100;100;
Row.tsx;100;100;100;100;
Screen.tsx;100;85.71;100;100;11
TextWhite.tsx;100;100;100;100;
TouchableIcons.tsx;100;100;100;100;
components/List;100;100;100;100;
ListItem.tsx;100;100;100;100;
constants;100;100;100;100;
alert.ts;100;100;100;100;
color.ts;100;100;100;100;
pages.ts;100;100;100;100;
text.ts;100;100;100;100;
whatsapp.ts;100;100;100;100;
hooks;85.71;100;100;83.33;
useInitAlert.ts;85.71;100;100;83.33;13
services;96.34;91.66;93.54;97.33;
AlertService.ts;97.95;87.5;90.47;100;140-146
CartStoreService.ts;100;100;100;100;
ClipboardService.ts;100;100;100;100;
ProductService.ts;100;100;100;100;
ShareService.ts;90.9;100;100;90.9;18-19
stores;100;100;100;100;
CartStore.ts;100;100;100;100;
stores/helpers;100;100;100;100;
CartInMemory.ts;100;100;100;100;
utils/functions;98.36;94.11;100;99.05;
ConvertToProductsList.ts;96.55;94.44;100;100;40
DuplicateProducts.ts;100;100;100;100;
MathFunctions.ts;97.5;90.62;100;97.22;49
NumberFunctions.ts;100;100;100;100;
SortList.ts;100;100;100;100;
StringFunctions.ts;100;100;100;100;
